字段名,重复值,开始时间,结束时间,持续长度,is_zero_value,异常类型
ACTIVE_POWER_BING,0.0,2024-04-07 13:57:00,2024-04-07 14:03:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-08 13:36:00,2024-04-08 13:48:00,13,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-08 13:57:00,2024-04-08 14:04:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-08 14:31:00,2024-04-08 14:36:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-08 14:39:00,2024-04-08 14:45:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-08 15:32:00,2024-04-08 15:41:00,10,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-08 18:54:00,2024-04-08 19:08:00,15,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-12 08:26:00,2024-04-12 08:30:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-12 09:20:00,2024-04-12 09:30:00,11,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-12 09:43:00,2024-04-12 10:07:00,25,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-12 10:13:00,2024-04-12 10:18:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-12 11:28:00,2024-04-12 11:46:00,19,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-12 14:48:00,2024-04-12 14:55:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-12 16:26:00,2024-04-12 16:30:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-12 16:54:00,2024-04-12 17:02:00,9,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-12 19:20:00,2024-04-12 19:26:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-12 23:08:00,2024-04-12 23:20:00,13,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-13 02:15:00,2024-04-13 02:28:00,14,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-13 05:41:00,2024-04-13 05:50:00,10,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-13 16:26:00,2024-04-13 16:30:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-13 17:09:00,2024-04-13 17:18:00,10,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-13 17:38:00,2024-04-13 17:45:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-13 18:08:00,2024-04-13 18:13:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-13 18:19:00,2024-04-13 18:34:00,16,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-16 12:21:00,2024-04-16 12:25:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-18 02:31:00,2024-04-18 02:35:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-18 03:34:00,2024-04-18 03:38:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-18 13:28:00,2024-04-18 13:33:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-18 13:58:00,2024-04-18 14:02:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-18 14:05:00,2024-04-18 14:12:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-18 14:14:00,2024-04-18 14:24:00,11,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-21 09:16:00,2024-04-21 09:23:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-22 13:12:00,2024-04-22 13:17:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-23 15:10:00,2024-04-23 15:17:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-23 16:42:00,2024-04-23 16:46:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-23 17:10:00,2024-04-23 17:20:00,11,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-23 19:57:00,2024-04-23 20:03:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-23 20:45:00,2024-04-23 20:50:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-24 03:02:00,2024-04-24 03:08:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-26 13:09:00,2024-04-26 13:15:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-04-26 14:05:00,2024-04-26 14:10:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-04 20:33:00,2024-05-04 20:38:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,7.511239,2024-05-05 02:57:00,2024-05-05 03:06:00,10,False,集电线路非零卡值-删除
ACTIVE_POWER_BING,0.0,2024-05-05 05:46:00,2024-05-05 05:51:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-05 05:53:00,2024-05-05 05:58:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-05 06:00:00,2024-05-05 06:08:00,9,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-06 07:46:00,2024-05-06 07:53:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-06 08:05:00,2024-05-06 08:18:00,14,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-06 08:21:00,2024-05-06 08:28:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-06 08:40:00,2024-05-06 08:46:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-07 11:35:00,2024-05-07 11:42:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-07 11:51:00,2024-05-07 12:00:00,10,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-07 12:38:00,2024-05-07 12:43:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-07 13:37:00,2024-05-07 13:41:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-07 18:42:00,2024-05-07 18:50:00,9,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-07 19:05:00,2024-05-07 19:11:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-07 19:16:00,2024-05-07 19:23:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-07 21:08:00,2024-05-07 21:12:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-07 21:21:00,2024-05-07 21:32:00,12,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-08 02:54:00,2024-05-08 03:18:00,25,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-08 05:16:00,2024-05-08 05:26:00,11,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-08 05:44:00,2024-05-08 05:54:00,11,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-11 20:59:00,2024-05-11 21:05:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-12 02:32:00,2024-05-12 02:40:00,9,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-12 03:00:00,2024-05-12 03:06:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-12 14:39:00,2024-05-12 14:43:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-12 23:10:00,2024-05-12 23:14:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-13 00:54:00,2024-05-13 00:58:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-13 02:12:00,2024-05-13 02:16:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-13 03:27:00,2024-05-13 03:31:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-13 22:57:00,2024-05-13 23:01:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-20 16:23:00,2024-05-20 16:30:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-20 16:32:00,2024-05-20 16:45:00,14,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-22 12:39:00,2024-05-22 12:48:00,10,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-23 04:18:00,2024-05-23 04:22:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-23 04:46:00,2024-05-23 04:53:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-23 05:31:00,2024-05-23 05:35:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-23 06:31:00,2024-05-23 06:36:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-23 06:38:00,2024-05-23 06:45:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-23 07:14:00,2024-05-23 07:19:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-23 07:24:00,2024-05-23 07:35:00,12,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-23 20:14:00,2024-05-23 20:28:00,15,True,集电线路零值-需结合风机数据判断
