P_left,P_right,P_med,L_med,n,base_bin_count,bin_width,min_bin_samples,line,line_name,scheme,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
190.0,200.0,195.21486,6.003590000000003,3053,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
200.0,210.0,204.90857,6.418169499999891,3267,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
210.0,220.0,214.96214,6.827799999999968,3201,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
220.0,230.0,225.094025,7.000204699999998,3302,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
230.0,240.0,234.69025,7.5393800000000795,2893,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
240.0,250.0,245.422965,8.139224850000033,2796,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
250.0,260.0,255.50119,8.605830000000026,4521,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
260.0,270.0,264.99896,9.106110000000001,4673,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
270.0,280.0,274.90826500000003,9.339140000000071,3120,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
280.0,290.0,283.48762,9.785775000000001,3158,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
290.0,300.0,293.56802,10.636449999999968,611,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
10.0,20.0,14.646365,1.7339179999999956,17904,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
20.0,30.0,24.890059999999995,1.7169060000000052,16411,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
30.0,40.0,34.84823,1.839661000000003,13136,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
40.0,50.0,45.03726,1.983393999999997,12911,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
50.0,60.0,54.598299999999995,2.1378999999999984,11832,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
60.0,70.0,64.8697799,2.3020249999999756,9596,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
