风机编号,厂商,集电线路,开始时间,结束时间,持续长度(min),状态码,冻结有功kW,冻结风速ms,同时冻结风机数,异常类型
119,东气,DING,2024-03-16 20:45:00,2024-03-16 21:08:00,24,110.0,0.0,0.0,1,单机-长时
154,明阳,BING,2024-03-16 21:13:00,2024-03-16 21:21:00,9,0.0,0.0,0.0,1,单机-短时
154,明阳,BING,2024-03-16 21:26:00,2024-03-16 21:51:00,26,6.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-16 21:40:00,2024-03-16 22:08:00,29,110.0,0.0,0.0,1,单机-长时
196,金风,BING,2024-03-16 22:09:00,2024-03-16 22:36:00,28,6.0,-12.8,4.82,1,单机-长时
119,东气,DING,2024-03-16 22:25:00,2024-03-16 23:30:00,66,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-16 23:32:00,2024-03-17 00:55:00,84,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-17 01:27:00,2024-03-17 01:56:00,30,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-17 02:14:00,2024-03-17 03:18:00,65,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-17 03:20:00,2024-03-17 04:44:00,85,110.0,0.0,0.0,1,单机-长时
119,东气,DING,2024-03-17 04:52:00,2024-03-17 04:56:00,5,110.0,0.0,0.0,1,单机-短时
119,东气,DING,2024-03-17 04:59:00,2024-03-17 05:09:00,11,110.0,0.0,0.0,1,单机-短时
63,明阳,WU,2024-03-17 05:00:00,2024-03-17 05:09:00,10,1.0,2413.0,6.5705,132,多机-大范围-短时
64,明阳,WU,2024-03-17 05:00:00,2024-03-17 05:09:00,10,3.0,0.0,8.2259,132,多机-大范围-短时
65,明阳,WU,2024-03-17 05:00:00,2024-03-17 05:09:00,10,1.0,2082.0,8.2416,132,多机-大范围-短时
66,明阳,WU,2024-03-17 05:00:00,2024-03-17 05:09:00,10,5.0,0.0,8.8604,132,多机-大范围-短时
67,明阳,WU,2024-03-17 05:00:00,2024-03-17 05:09:00,10,1.0,2357.0,6.3155,132,多机-大范围-短时
68,明阳,WU,2024-03-17 05:00:00,2024-03-17 05:09:00,10,1.0,2664.0,7.8405,132,多机-大范围-短时
69,明阳,WU,2024-03-17 05:00:00,2024-03-17 05:09:00,10,1.0,2213.0,7.7507,132,多机-大范围-短时
